Locality_Name,Post_Code,Lat,Lng
WARMUR,3482,-36.128125,142.81005
WATCHEM,3482,-36.148917,142.858965
WATCHEM WEST,3482,-36.187579,142.759352
BALLAPUR,3483,-35.979172,142.747934
BIRCHIP,3483,-35.980771,142.917843
BIRCHIP WEST,3483,-36.013841,142.821841
CURYO,3483,-35.823165,142.796611
JIL JIL,3483,-35.834959,142.992658
KARYRIE,3483,-35.902049,142.869123
KINNABULLA,3483,-35.899008,142.795867
MARLBED,3483,-35.820897,142.849932
NARRAPORT,3483,-36.027098,143.061288
REEDY DAM,3483,-35.964848,142.633563
WHIRILY,3483,-35.922694,142.986589
BANYAN,3485,-35.635088,142.766116
WATCHUPGA,3485,-35.758053,142.708455
WILLANGIE,3485,-35.719379,142.796561
WOOMELANG,3485,-35.680879,142.666099
LASCELLES,3487,-35.606765,142.578891
SPEED,3488,-35.400818,142.44027
TURRIFF EAST,3488,-35.445806,142.588306
TEMPY,3489,-35.344581,142.476178
BOINKA,3490,-35.199697,141.600652
KULWIN,3490,-35.066719,142.655764
OUYEN,3490,-35.072165,142.318876
TORRITA,3490,-35.13549,141.905953
TUTYE,3490,-35.214904,141.498506
PATCHEWOLLOCK,3491,-35.382896,142.1895
CARWARP,3494,-34.457991,142.230811
COLIGNAN,3494,-34.52924,142.36671
IRAAK,3494,-34.429715,142.353874
NANGILOC,3494,-34.474154,142.359892
CARDROSS,3496,-34.292017,142.145463
CULLULLERAINE,3496,-34.278196,141.597777
MERINGUR,3496,-34.39048,141.338808
MERRINEE,3496,-34.369766,141.812102
NEDS CORNER,3496,-34.274805,141.263471
RED CLIFFS,3496,-34.308353,142.186534
SUNNYCLIFFS,3496,-34.28754,142.191911
WERRIMULL,3496,-34.38721,141.597044
IRYMPLE,3498,-34.234604,142.181724
MILDURA,3500,-34.181714,142.163072
MILDURA EAST,3500,-34.203319,142.17039
MILDURA WEST,3500,-34.203319,142.17039
HATTAH,3501,-34.850899,142.327634
KOORLONG,3501,-34.264174,142.096554
MILDURA CENTRE PLAZA,3501,-34.207114,142.136298
MILDURA SOUTH,3501,-34.244732,142.090351
NICHOLS POINT,3501,-34.214151,142.186812
MILDURA,3502,-37.972887,145.25835
BIRDWOODTON,3505,-34.19768,142.057629
CABARITA,3505,-34.197773,142.084141
MERBEIN,3505,-34.167929,142.060861
MERBEIN SOUTH,3505,-34.215642,142.024463
MERBEIN WEST,3505,-34.166774,142.007289
WARGAN,3505,-34.264274,141.954205
YELTA,3505,-34.149578,141.978682
COWANGIE,3506,-35.27579,141.399006
WALPEUP,3507,-35.191803,142.02364
LINGA,3509,-35.173454,141.692549
UNDERBOOL,3509,-35.169799,141.808981
CARINA,3512,-35.218149,141.090483
MURRAYVILLE,3512,-35.262387,141.183321
MARONG,3515,-36.736592,144.132572
WILSONS HILL,3515,-36.724153,144.100779
BRIDGEWATER,3516,-36.593021,143.924643
BRIDGEWATER NORTH,3516,-36.524666,143.996272
BRIDGEWATER ON LODDON,3516,-36.601351,143.941051
DERBY,3516,-36.64949,144.017206
LEICHARDT,3516,-36.691491,144.075949
YARRABERB,3516,-36.603624,144.062812
BEARS LAGOON,3517,-36.298881,143.915229
BRENANAH,3517,-36.566388,143.707293
GLENALBYN,3517,-36.508436,143.764881
INGLEWOOD,3517,-36.576463,143.868955
JARKLIN,3517,-36.269461,143.966665
KINGOWER,3517,-36.608608,143.7543
KURTING,3517,-36.53964,143.811981
POWLETT PLAINS,3517,-36.437652,143.899053
RHEOLA,3517,-36.651471,143.699164
SALISBURY WEST,3517,-36.517569,143.923368
SERPENTINE,3517,-36.412547,143.974416
BERRIMAL,3518,-36.501479,143.456459
BORUNG,3518,-36.291375,143.751749
FENTONS CREEK,3518,-36.564065,143.519958
FERNIHURST,3518,-36.240301,143.867439
FIERY FLAT,3518,-36.404297,143.823229
KURRACA,3518,-36.517281,143.613413
KURRACA WEST,3518,-36.504624,143.556361
MYSIA,3518,-36.234836,143.758455
NINE MILE,3518,-36.421098,143.459744
RICHMOND PLAINS,3518,-36.391689,143.446399
SKINNERS FLAT,3518,-36.3585,143.582874
WEDDERBURN,3518,-36.418555,143.61284
WEDDERBURN JUNCTION,3518,-36.424318,143.68675
WEHLA,3518,-36.603174,143.61479
WOOLSHED FLAT,3518,-36.331249,143.660601
WOOSANG,3518,-36.345755,143.470856
KINYPANIAL,3520,-36.331469,143.83557
KORONG VALE,3520,-36.356586,143.705869
PYALONG,3521,-37.120609,144.882105
EMU FLAT,3522,-37.126178,144.750364
TOOBORAC,3522,-37.046912,144.798912
ARGYLE,3523,-36.944132,144.732986
COSTERFIELD,3523,-36.894752,144.80027
DERRINAL,3523,-36.88112,144.649341
HEATHCOTE,3523,-36.922052,144.708908
HEATHCOTE SOUTH,3523,-37.005382,144.723819
KNOWSLEY,3523,-36.82727,144.595092
LADYS PASS,3523,-36.829301,144.710782
MOORMBOOL WEST,3523,-36.802355,144.882263
MOUNT CAMEL,3523,-36.787493,144.715683
REDCASTLE,3523,-36.795314,144.802939
BARRAKEE,3525,-36.268867,143.426085
BUCKRABANYULE,3525,-36.264986,143.508029
CHARLTON,3525,-36.269007,143.350406
GRANITE FLAT,3525,-36.213632,143.128316
LAKE MARMAL,3525,-36.160504,143.513558
NAREEWILLOCK,3525,-36.158726,143.431571
TEDDYWADDY,3525,-36.196584,143.341278
TEDDYWADDY WEST,3525,-36.196125,143.204814
TERRAPPEE,3525,-36.150048,143.587841
WOOROONOOK,3525,-36.261221,143.211082
WYCHITELLA,3525,-36.273232,143.597571
WYCHITELLA NORTH,3525,-36.197174,143.627886
YEUNGROON,3525,-36.386796,143.381179
YEUNGROON EAST,3525,-36.356027,143.438925
BUNGULUKE,3527,-36.055958,143.38661
DUMOSA,3527,-35.903515,143.261657
GLENLOTH,3527,-36.139588,143.339126
GLENLOTH EAST,3527,-36.059245,143.450693
THALIA,3527,-36.09834,143.067339
TOWANINNY,3527,-35.812817,143.365339
TOWANINNY SOUTH,3527,-35.939667,143.331977
WYCHEPROOF,3527,-36.077203,143.227148
WYCHEPROOF SOUTH,3527,-36.135691,143.18554
KALPIENUNG,3529,-35.780006,143.259314
NULLAWIL,3529,-35.854123,143.178092
CULGOA,3530,-35.718468,143.107379
WARNE,3530,-35.780915,143.120509
BERRIWILLOCK,3531,-35.635336,142.991804
BOIGBEAT,3531,-35.563179,142.914657
SPRINGFIELD,3531,-35.583752,143.109086
BIMBOURIE,3533,-35.360723,142.786824
LAKE TYRRELL,3533,-35.309,142.7795
MITTYACK,3533,-35.157562,142.656977
NANDALY,3533,-35.308438,142.698564
NINDA,3533,-35.45375,142.755877
NYARRIN,3533,-35.388524,142.650655
SEA LAKE,3533,-35.504189,142.850808
TYRRELL,3533,-35.425329,142.961344
TYRRELL DOWNS,3533,-35.358339,142.972786
BARRAPORT,3537,-36.011488,143.671965
BARRAPORT WEST,3537,-36.018669,143.527848
BOORT,3537,-36.116842,143.725589
CANARY ISLAND,3537,-35.986353,143.87463
CATUMNAL,3537,-36.090288,143.644117
GREDGWIN,3537,-35.984791,143.604361
LEAGHUR,3537,-35.942274,143.818646
MINMINDIE,3537,-36.042299,143.745106
YANDO,3537,-36.068607,143.807342
CANNIE,3540,-35.75855,143.445376
NINYEUNOOK,3540,-35.942628,143.445965
OAKVALE,3540,-35.907104,143.593301
QUAMBATOOK,3540,-35.849005,143.520646
COKUM,3542,-35.758096,143.284751
LALBERT,3542,-35.667621,143.374622
TITYBONG,3542,-35.699829,143.38222
CHINANGIN,3544,-35.513341,143.197025
GOWANFORD,3544,-35.410778,143.191625
MURNUNGIN,3544,-35.614725,143.237807
ULTIMA,3544,-35.470402,143.26756
ULTIMA EAST,3544,-35.467617,143.341976
WAITCHIE,3544,-35.365614,143.103594
BOLTON,3546,-34.96464,142.884361
CHINKAPOOK,3546,-35.190061,142.947359
COCAMBA,3546,-35.109974,142.900139
GERAHMIN,3546,-35.181035,142.795553
MANANGATANG,3546,-35.054563,142.882871
TUROAR,3546,-35.181524,143.079145
WINNAMBOOL,3546,-34.977791,142.767585
ANNUELLO,3549,-34.847699,142.830117
BANNERTON,3549,-34.698232,142.813221
HAPPY VALLEY,3549,-34.695199,142.713108
LIPAROO,3549,-34.819892,142.581157
ROBINVALE,3549,-34.590121,142.772064
ROBINVALE IRRIGATION DISTRICT SECTION B,3549,-34.612077,142.789595
ROBINVALE IRRIGATION DISTRICT SECTION C,3549,-34.626246,142.730687
ROBINVALE IRRIGATION DISTRICT SECTION D,3549,-34.636393,142.75566
ROBINVALE IRRIGATION DISTRICT SECTION E,3549,-34.664554,142.759585
TOL TOL,3549,-34.642107,142.822454
WANDOWN,3549,-34.820509,142.92752
WEMEN,3549,-34.804308,142.672627
BENDIGO,3550,-36.758492,144.280075
BENDIGO SOUTH,3550,-36.771921,144.291162
DIAMOND HILL,3550,-36.822895,144.270219
EAST BENDIGO,3550,-36.749405,144.30275
FLORA HILL,3550,-36.774405,144.290098
IRONBARK,3550,-36.74571,144.25755
KENNINGTON,3550,-36.767542,144.301903
LONG GULLY,3550,-36.746922,144.258137
NORTH BENDIGO,3550,-36.748507,144.280995
QUARRY HILL,3550,-36.780733,144.270238
SPRING GULLY,3550,-36.803325,144.289662
STRATHDALE,3550,-36.75934,144.298591
WEST BENDIGO,3550,-36.759261,144.251415
WHITE HILLS,3550,-36.73025,144.307497
ARNOLD,3551,-36.690822,143.868371
ARNOLD WEST,3551,-36.661766,143.76205
ASCOT,3551,-36.71111,144.332462
AXE CREEK,3551,-36.848927,144.419476
AXEDALE,3551,-36.787917,144.504133
BAGSHOT,3551,-36.654973,144.403153
BAGSHOT NORTH,3551,-36.600407,144.4118
CORNELLA,3551,-36.704414,144.775073
EMU CREEK,3551,-36.848332,144.336312
EPPALOCK,3551,-36.887127,144.390872
EPSOM,3551,-36.71462,144.313944
HUNTLY,3551,-36.667075,144.331972
HUNTLY NORTH,3551,-36.587872,144.333014
JUNORTOUN,3551,-36.773334,144.360111
KIMBOLTON,3551,-36.915031,144.492447
LLANELLY,3551,-36.73205,143.857071
LOCKWOOD,3551,-36.811409,144.174268
LOCKWOOD SOUTH,3551,-36.844443,144.158421
LONGLEA,3551,-36.715051,144.415385
MAIDEN GULLY,3551,-36.742983,144.211349
MANDURANG,3551,-36.817858,144.295026
MANDURANG SOUTH,3551,-36.870023,144.27292
MINTO,3551,-36.486997,144.495741
MOSQUITO CREEK,3551,-36.834244,144.501818
MURPHYS CREEK,3551,-36.753091,143.771109
MYOLA,3551,-36.643942,144.65305
MYOLA EAST,3551,-36.643993,144.709894
NEWBRIDGE,3551,-36.742221,143.908207
PAINSWICK,3551,-36.819705,143.738403
PILCHERS BRIDGE,3551,-36.926594,144.397922
SEDGWICK,3551,-36.87244,144.314641
STRATHFIELDSAYE,3551,-36.80632,144.355351
TARNAGULLA,3551,-36.774013,143.833431
TOOLLEEN,3551,-36.720439,144.682618
WAANYARRA,3551,-36.820359,143.815216
WELLSFORD,3551,-36.682084,144.38645
WOODSTOCK ON LODDON,3551,-36.745508,144.001318
BENDIGO,3552,-37.825288,145.011924
BIG HILL,3555,-36.834685,144.230004
GOLDEN GULLY,3555,-36.781511,144.263033
GOLDEN SQUARE,3555,-36.774862,144.263168
KANGAROO FLAT,3555,-36.796876,144.243973
LANSELL PLAZA,3555,-36.792655,144.244432
SPECIMEN HILL,3555,-36.765314,144.248517
CALIFORNIA GULLY,3556,-36.732656,144.257173
CAMPBELLS FOREST,3556,-36.6182,144.122033
EAGLEHAWK,3556,-36.717864,144.252541
EAGLEHAWK NORTH,3556,-36.690494,144.258733
JACKASS FLAT,3556,-36.696142,144.277644
MYERS FLAT,3556,-36.701241,144.208904
SAILORS GULLY,3556,-36.708908,144.232158
SEBASTIAN,3556,-36.593639,144.188967
WHIPSTICK,3556,-36.664052,144.271258
WOODVALE,3556,-36.642442,144.257034
BARNADOWN,3557,-36.653535,144.506417
FOSTERVILLE,3557,-36.696091,144.515424
GOORNONG,3557,-36.614875,144.506062
MUSKERRY,3557,-36.697844,144.549804
MUSKERRY EAST,3557,-36.675599,144.618476
BURNEWANG,3558,-36.485796,144.713905
COROP WEST,3558,-36.504303,144.75
CREEK VIEW,3558,-36.594619,144.636888
ELMORE,3558,-36.493319,144.609344
HUNTER,3558,-36.442531,144.504955
AVONMORE,3559,-36.529882,144.604459
COLBINABBIN,3559,-36.590262,144.793787
COROP,3559,-36.457558,144.793985
RUNNYMEDE,3559,-36.534062,144.624333
BALLENDELLA,3561,-36.298882,144.673529
BAMAWM,3561,-36.256504,144.564747
BAMAWM EXTENSION,3561,-36.198835,144.616856
DIGGORA,3561,-36.352334,144.576262
DIGGORA WEST,3561,-36.354517,144.50504
FAIRY DELL,3561,-36.34374,144.743065
NANNEELLA,3561,-36.284193,144.777526
ROCHESTER,3561,-36.361458,144.701328
ROCHESTER WEST,3561,-36.352097,144.693262
THE SETTLEMENT,3561,-36.35211,144.644379
TIMMERING,3561,-36.357583,144.857866
TORRUMBARRY,3562,-35.975398,144.459855
LOCKINGTON,3563,-36.271227,144.481629
CAMPASPE WEST,3564,-36.131154,144.728548
ECHUCA,3564,-36.128659,144.748178
ECHUCA EAST,3564,-36.140551,144.764893
ECHUCA SOUTH,3564,-36.14051,144.74663
ECHUCA VILLAGE,3564,-36.140476,144.813682
ECHUCA WEST,3564,-36.182336,144.673419
KANYAPELLA,3564,-36.096733,144.88293
MCEVOYS,3564,-36.155695,144.593715
PATHO,3564,-36.012233,144.43748
PATHO WEST,3564,-36.038688,144.373109
ROSLYNMEAD,3564,-36.129538,144.507655
SIMMIE,3564,-36.217408,144.809735
WHARPARILLA,3564,-36.108652,144.629715
KOTTA,3565,-36.192354,144.526275
GUNBOWER,3566,-35.957441,144.366659
HORFIELD,3567,-35.886223,144.242273
LEITCHVILLE,3567,-35.904018,144.301443
BURKES BRIDGE,3568,-35.836345,144.336635
COHUNA,3568,-35.808807,144.221264
CULLEN,3568,-35.79337,144.160827
DALTONS BRIDGE,3568,-35.813775,144.182809
GANNAWARRA,3568,-35.711438,144.146351
KEELY,3568,-35.853908,144.244267
MACORNA NORTH,3568,-35.851386,144.091251
MCMILLANS,3568,-35.858679,144.159049
MEAD,3568,-35.811183,144.124299
MINCHA WEST,3568,-35.920497,144.100406
WEE WEE RUP,3568,-35.857221,144.282705
AUCHMORE,3570,-36.474005,144.1055
DRUMMARTIN,3570,-36.44328,144.430294
KAMAROOKA,3570,-36.458285,144.380317
NEILBOROUGH,3570,-36.566527,144.243285
RAYWOOD,3570,-36.535452,144.206583
SUMMERFIELD,3570,-38.24686,145.066308
DINGEE,3571,-36.370912,144.231949
KAMAROOKA NORTH,3571,-36.399867,144.308331
POMPAPIEL,3571,-36.35515,144.0926
TANDARRA,3571,-36.428983,144.230263
MILLOO,3572,-36.356189,144.381891
PIAVELLA,3572,-36.299018,144.319328
PRAIRIE,3572,-36.301144,144.231929
TENNYSON,3572,-36.299054,144.43186
CALIVIL,3573,-36.298763,144.085645
MITIAMO,3573,-36.211184,144.230492
PINE GROVE,3573,-36.223216,144.411942
PINE GROVE EAST,3573,-36.225801,144.454498
TERRICK TERRICK EAST,3573,-36.129338,144.382976
GLADFIELD,3575,-36.042544,143.990513
JUNGABURRA,3575,-36.055885,144.287813
LODDON VALE,3575,-35.975089,143.944279
MINCHA,3575,-35.982312,144.078033
MOLOGA,3575,-36.163631,144.171905
PYRAMID HILL,3575,-36.055221,144.115148
SYLVATERRE,3575,-36.086706,144.236156
TERRICK TERRICK,3575,-36.091366,144.257619
YARRAWALLA,3575,-36.152718,144.101756
DURHAM OX,3576,-36.198759,143.956055
APPIN,3579,-35.878433,143.872782
APPIN SOUTH,3579,-35.940964,143.859905
BAEL BAEL,3579,-35.6768,143.727205
BEAUCHAMP,3579,-35.612248,143.623573
BENJEROOP,3579,-35.490506,143.818588
BUDGERUM EAST,3579,-35.786233,143.660835
CAPELS CROSSING,3579,-35.615243,143.942374
DINGWALL,3579,-35.815627,143.829397
FAIRLEY,3579,-35.672459,143.86925
GONN CROSSING,3579,-35.508028,143.95598
KERANG,3579,-35.735049,143.918869
KERANG EAST,3579,-35.786359,144.019485
KOROOP,3579,-35.743107,144.07558
LAKE MERAN,3579,-35.876065,143.800262
MACORNA,3579,-35.918792,144.028959
MEERING WEST,3579,-35.884903,143.71319
MILNES BRIDGE,3579,-35.790873,144.059018
MURRABIT,3579,-35.527252,143.956969
MURRABIT WEST,3579,-35.502293,143.910118
MYALL,3579,-35.594342,143.996812
MYSTIC PARK,3579,-35.558116,143.726695
NORMANVILLE,3579,-35.809622,143.740185
PINE VIEW,3579,-35.807924,143.659496
REEDY LAKE,3579,-35.687384,143.875613
SANDHILL LAKE,3579,-35.740062,143.688254
TEAL POINT,3579,-35.675259,144.072561
TRAGOWEL,3579,-35.856399,143.982847
WANDELLA,3579,-35.697707,143.857734
WESTBY,3579,-35.664491,143.959219
KOONDROOK,3580,-35.64272,144.108584
LAKE CHARM,3581,-35.620733,143.804041
TRESCO,3583,-35.506577,143.638434
LAKE BOGA,3584,-35.461804,143.634454
TRESCO WEST,3584,-35.506577,143.638434
CASTLE DONNINGTON,3585,-35.418038,143.594275
CHILLINGOLLAH,3585,-35.26468,143.052602
FISH POINT,3585,-35.470738,143.731582
GOSCHEN,3585,-35.475922,143.452861
KUNAT,3585,-35.544116,143.527287
MEATIAN,3585,-35.574939,143.340748
NOWIE,3585,-35.327659,143.284705
NYRRABY,3585,-35.221087,143.223653
PIRA,3585,-35.257499,143.365648
POLISBET,3585,-35.271997,143.14734
SPEEWA,3585,-35.183898,143.523043
SWAN HILL,3585,-35.336175,143.560181
SWAN HILL WEST,3585,-35.383216,143.426576
WINLATON,3585,-35.482338,143.747049
BULGA,3586,-35.304516,143.359804
MURRAWEE,3586,-35.302364,143.51815
MURRAYDALE,3586,-35.287843,143.561504
PENTAL ISLAND,3586,-35.367472,143.583706
TYNTYNDER,3586,-35.248047,143.551389
TYNTYNDER SOUTH,3586,-35.264254,143.519178
WOORINEN SOUTH,3588,-35.270527,143.454012
WOORINEN,3589,-35.264373,143.471892
WOORINEN NORTH,3589,-35.236272,143.428828
BEVERFORD,3590,-35.235882,143.480953
VINIFERA,3591,-35.217734,143.405908
NYAH,3594,-35.152584,143.362249
NYAH WEST,3595,-35.187893,143.348862
MIRALIE,3596,-35.123806,143.327682
TOWAN,3596,-35.185934,143.196443
WOOD WOOD,3596,-35.10186,143.344549
KENLEY,3597,-34.856397,143.341123
KOOLOONONG,3597,-34.878403,143.147981
LAKE POWELL,3597,-34.714363,142.942108
NARRUNG,3597,-34.756012,143.190209
NATYA,3597,-34.958384,143.228835
PIANGIL,3597,-35.053788,143.31327
BOUNDARY BEND,3599,-34.742098,143.144838
TABILK,3607,-36.846437,145.199887
BAILIESTON,3608,-36.699872,145.034359
GOULBURN WEIR,3608,-36.714637,145.174232
GRAYTOWN,3608,-36.815207,144.955389
KIRWANS BRIDGE,3608,-36.744541,145.138681
MITCHELLSTOWN,3608,-36.859135,145.08518
